Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
98	973.25	21.463633	1000.0	940.0	911.5	160.22188	1000.0	438.0	1000.0	1000.0	391999	106.51837	34.334675	149.6291	-15.92773	-107.01288	0.6334748	7411.738390207291
99	901.5	125.587616	977.0	684.0	970.4	19.566298	997.0	930.0	1000.0	1000.0	395999	106.57376	34.229218	144.8763	-20.055748	-107.06972	0.65166795	7491.194097042084
100	954.75	25.616158	997.0	929.0	800.0	362.30127	999.0	7.0	1000.0	1000.0	399999	106.47187	35.228428	145.42503	-20.034359	-106.986	0.6467692	7571.0011167526245
101	953.75	64.70848	999.0	842.0	689.9	450.42368	1000.0	0.0	1000.0	1000.0	403999	107.06137	35.112354	145.31213	-17.78612	-107.60544	0.6310575	7650.7332236766815
102	980.5	27.518175	1000.0	933.0	689.5	435.52203	996.0	10.0	1000.0	1000.0	407999	107.62354	34.457943	141.6564	-8.017101	-108.12756	0.5913512	7730.462585926056
103	961.0	31.70962	997.0	910.0	972.5	18.88518	996.0	925.0	1000.0	1000.0	411999	107.66182	34.742035	142.7619	-11.869473	-108.15652	0.5790914	7810.3041224479675
104	716.75	408.47116	982.0	12.0	783.5	391.79745	987.0	0.0	1000.0	1000.0	415999	107.32872	35.22971	140.45482	-6.023839	-107.81072	0.55366415	7890.188687801361
105	974.75	7.292976	983.0	963.0	974.1	9.700001	990.0	955.0	1000.0	1000.0	419999	107.08703	36.07425	138.79524	-12.768699	-107.57704	0.5372251	7970.212789058685
106	888.25	154.32494	982.0	621.0	768.1	380.73492	983.0	0.0	1000.0	1000.0	423999	107.3751	36.22519	140.03986	-4.7599125	-107.8836	0.5199655	8050.3173661231995
107	976.0	15.264338	997.0	957.0	962.7	52.9	989.0	806.0	1000.0	1000.0	427999	108.04468	35.672543	141.28853	-4.6899047	-108.563354	0.55868673	8130.221755743027
108	975.5	15.05822	994.0	954.0	978.9	16.232376	997.0	941.0	1000.0	1000.0	431999	108.40505	35.46393	145.23183	-9.245123	-108.9059	0.5793655	8209.979346752167
109	722.5	417.37604	986.0	0.0	978.2	12.464349	989.0	949.0	1000.0	1000.0	435999	108.51718	36.183765	147.91147	-15.50291	-109.01879	0.6020918	8289.874772071838
110	980.0	25.96151	1000.0	936.0	887.0	295.97635	1000.0	0.0	1000.0	1000.0	439999	108.81232	36.709026	165.39647	-11.376357	-109.321075	0.62597924	8369.428171873093
111	744.5	407.87405	998.0	39.0	706.6	345.00323	992.0	0.0	1000.0	1000.0	443999	108.95544	36.796234	178.01457	-9.587396	-109.46229	0.651717	8449.62703537941
112	713.25	413.61057	987.0	0.0	715.4	352.15912	1000.0	0.0	1000.0	1000.0	447999	110.01732	36.744587	204.62692	-10.397809	-110.57816	0.67547554	8529.456235170364
113	921.25	87.23352	996.0	778.0	786.6	391.6874	992.0	0.0	1000.0	1000.0	451999	111.38472	36.73629	210.42856	-1.4960728	-111.97231	0.6774941	8609.236785411835
114	738.75	425.40533	994.0	2.0	688.2	450.7349	999.0	0.0	1000.0	1000.0	455999	112.75672	35.976112	207.71889	2.2401626	-113.33133	0.69622976	8688.944998025894
