Checkpoint,Return,Undiscounted Return,Soft Return,Q1,Q2,AvgQ,MSE,MAE
43.0,65.68244122454799,791.2,62.316193389892575,68.43423995971679,68.70545711517335,68.56984853744507,39.10820270450979,6.253655147552493
44.0,67.82025200700494,789.35,65.89803810119629,69.60826950073242,69.4644926071167,69.53638105392456,13.237539441667435,3.638342952728266
45.0,66.28992063023483,771.2,66.03597164154053,71.1580738067627,71.21425971984863,71.18616676330566,26.52450979225341,5.150195121765137
46.0,69.18912277488892,788.7,65.59592151641846,72.92832641601562,73.00665817260742,72.96749229431153,54.34005573348703,7.371570777893069
47.0,67.13949162644239,769.65,67.18989601135254,74.05010261535645,74.27708473205567,74.16359367370606,48.63245908591489,6.973697662353516
48.0,68.35196849218059,789.55,65.18820514678956,73.71285820007324,73.73751678466797,73.72518749237061,72.88006756876256,8.536982345581052
49.0,72.5110057591526,814.5,67.97467250823975,76.03755264282226,76.0178726196289,76.02771263122558,64.8514552224197,8.053040122985834
50.0,69.27659041702704,797.2,67.09423027038574,75.18649597167969,75.09540100097657,75.14094848632813,64.7496740467791,8.046718215942391
51.0,67.94981662826838,783.55,66.45066871643067,76.80543212890625,76.80358085632324,76.80450649261475,107.20195669553648,10.35383777618408
52.0,68.9738940451974,781.9,69.56146450042725,77.82672996520996,77.68855590820313,77.75764293670655,67.17734095932974,8.196178436279297
53.0,69.6321224079426,775.6,69.58483066558838,77.51001930236816,77.49222297668457,77.50112113952636,62.66765486776116,7.916290473937977
54.0,66.46543004169963,793.3,63.48770923614502,76.44140281677247,76.222412109375,76.33190746307373,164.97342809263864,12.844198226928711
55.0,68.51156559085858,782.85,70.28864116668701,79.04589042663574,79.08294334411622,79.06441688537598,77.01423946473076,8.775775718688962
56.0,68.52764927507064,789.9,68.35039234161377,78.80384788513183,78.62462882995605,78.71423835754395,107.40930424191184,10.363846015930179
57.0,69.06602480793349,799.35,69.69182109832764,79.32067489624023,79.38785095214844,79.35426292419433,93.36278203825809,9.662441825866694
58.0,71.446325470581,802.4,71.42498455047607,80.05531578063965,80.27801055908203,80.16666316986084,76.41694508460884,8.741678619384771
59.0,66.08696730337303,780.7,66.58628616333007,78.60125312805175,78.40851097106933,78.50488204956055,142.05292789927006,11.918595886230477
60.0,69.316070463187,796.65,68.21429138183593,80.51203117370605,80.49967994689942,80.50585556030273,151.08254995336821,12.2915641784668
61.0,69.04456523047669,815.0,69.14695949554444,79.21845779418945,79.26226234436035,79.2403600692749,101.87673514178245,10.093400573730463
62.0,69.99605497113596,808.55,72.32531852722168,78.76902961730957,78.63437385559082,78.70170173645019,40.658262830931235,6.376383209228507
63.0,67.39432360783348,779.05,67.85825881958007,80.13279724121094,80.21359138488769,80.17319431304932,151.6576362083087,12.31493549346925
64.0,70.67708698510913,807.55,73.12903442382813,79.0496337890625,79.18126182556152,79.11544780731201,35.8371451979549,5.986413383483878
65.0,67.597096495116,797.1,68.58354835510254,80.24374847412109,79.98317832946778,80.11346340179443,132.9389409839322,11.529915046691897
