Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
69	764.1153	348.64078	977.5538	160.44347	888.9824	243.12448	993.24805	160.69366	1000.0	1000.0	275999	52.612946	32.63219	95.895485	0.077887535	52.613045	32.632076	96.36838	7.6917152	-52.905037	0.53237635	0.53237635	6649.388618707657
70	768.277	345.02707	974.44635	170.73665	650.9083	397.43448	993.5258	159.88283	1000.0	1000.0	279999	53.220177	32.82389	95.32738	-4.5430737	53.22029	32.82378	96.43548	-3.6028	-53.584282	0.5818049	0.5818049	6752.616804122925
71	553.8928	417.13696	971.8844	107.59165	631.93274	384.97797	993.26373	162.84825	1000.0	1000.0	283999	53.45523	33.08494	99.6574	0.5082357	53.45523	33.084858	96.759026	-7.3042116	-53.711433	0.5422593	0.5422593	6855.971089839935
72	969.6708	28.77883	993.4117	922.619	720.24896	334.2545	990.805	166.61768	1000.0	1000.0	287999	54.099064	33.302753	100.856346	-0.27289534	54.099274	33.302685	98.678535	0.5084319	-54.45733	0.5104853	0.5104853	6955.783066272736
73	607.36566	365.65598	974.76526	194.07315	713.76526	373.5159	982.65717	107.42859	1000.0	1000.0	291999	54.45247	33.40853	101.76682	0.38234615	54.452484	33.40845	97.6956	-1.1015377	-54.665733	0.5249634	0.5249634	7062.700400590897
74	947.976	19.563717	971.29254	921.7146	550.0849	403.24118	992.0002	35.967907	1000.0	1000.0	295999	54.63386	33.546455	97.61886	1.1824508	54.633896	33.546425	97.13463	-10.5155	-54.852238	0.5652254	0.5652254	7168.024885416031
75	959.2862	27.45166	988.8679	915.34515	790.2917	313.96713	991.14606	164.68932	1000.0	1000.0	299999	55.37847	33.75007	97.579575	-9.474303	55.378635	33.749924	98.23762	-6.451024	-55.6665	0.5749689	0.5749689	7271.758004665375
76	365.82483	338.21207	951.4213	160.7352	668.39825	379.26828	994.4961	172.28732	1000.0	1000.0	303999	55.682384	33.88539	97.13877	-9.15292	55.682465	33.88545	97.27756	-10.265011	-55.903587	0.57465327	0.57465327	7375.161454439163
77	571.5503	405.65338	994.09296	165.49568	872.5143	236.05318	974.62354	167.66643	1000.0	1000.0	307999	55.54162	34.062054	96.89931	-9.510391	55.541656	34.06202	97.499306	-4.3821673	-55.75914	0.51713085	0.51713085	7478.7091755867
78	777.3203	353.21378	993.4658	166.07693	738.12854	374.13397	995.7626	166.12672	1000.0	1000.0	311999	55.72443	34.156097	97.539536	-3.4338353	55.72447	34.156048	97.56375	-5.6926656	-55.9585	0.58998436	0.58998436	7577.261910200119
79	977.8473	8.877216	993.1427	971.55237	661.85706	391.0874	995.0961	167.36482	1000.0	1000.0	315999	56.1289	34.27998	98.885284	-10.346206	56.12902	34.279995	99.31566	-12.718306	-56.245106	0.5779568	0.5779568	7677.335422277451
